Countries,downloads,visitors,/search,/es/search,/ja/search,/fr/search,/uk/search,/zh/search,/zh-tw/search,/ru/search,/pt/search,/ar/search
Cook Islands,5,809,49,0,0,0,0,0,0,0,0,0
Lesotho,4,850,40,0,0,0,0,0,0,0,0,0
Tajikistan,3,3940,107,0,0,0,0,0,0,47,0,0
Somalia,3,2729,92,0,0,0,0,0,0,0,0,2
Saint Lucia,3,956,16,1,0,0,0,0,0,0,0,0
Kiribati,3,45,1,0,0,0,0,0,0,0,0,0
Sint Maarten,2,363,10,0,0,0,0,0,0,0,0,0
Northern Mariana Islands,2,319,20,0,0,0,0,0,0,0,0,0
British Virgin Islands,2,217,11,0,0,1,0,0,0,0,0,0
Åland Islands,2,207,6,0,0,0,0,0,0,0,0,0
Aruba,1,1425,30,3,0,0,0,0,0,0,0,0
Antigua and Barbuda,1,670,29,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,1,187,11,0,0,17,0,0,0,0,0,0
Solomon Islands,0,1339,31,1,0,0,0,0,0,0,0,0
Palau,0,944,25,0,0,0,0,0,0,0,0,0
Monaco,0,841,22,0,0,1,0,0,0,0,0,0
Saint Vincent and the Grenadines,0,606,62,3,1,2,1,0,0,0,2,0
Djibouti,0,591,14,0,0,33,0,0,0,0,0,0
Tonga,0,569,11,0,0,0,0,1,0,0,0,0
San Marino,0,332,11,0,0,0,0,0,0,0,0,0
Liechtenstein,0,320,5,0,0,1,0,1,0,0,0,0
Saint-Martin,0,304,9,0,0,14,0,0,0,0,0,0
Marshall Islands,0,165,14,0,0,0,0,0,1,0,0,0
Svalbard and Jan Mayen,0,165,1,0,0,0,0,0,0,0,0,0
Eritrea,0,156,7,0,0,0,0,0,0,0,0,0
Federated States of Micronesia,0,129,8,0,0,0,0,0,0,0,0,0
Montserrat,0,81,4,0,0,0,0,0,0,0,0,0
Tuvalu,0,72,3,0,0,0,0,0,0,0,0,0
Vatican,0,17,1,0,0,0,0,0,0,0,0,0
Norfolk Island,0,8,3,0,0,0,0,0,0,0,0,0
